DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2007,28.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2008,27.3,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2009,29.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2010,25.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2011,23.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2012,24.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2013,24.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2014,22.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2015,24.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2016,24.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2017,25.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IS,2018,23.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,1995,33,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,1996,32,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,1997,31,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,1998,31,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,1999,30,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2000,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2001,29,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2004,32.9,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2005,32.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2006,32.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2007,32.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2008,31.2,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2009,31.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2010,31.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2011,32.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2012,32.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2013,32.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2014,32.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2015,32.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2016,33.1,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2017,32.7,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2018,33.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2019,32.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,IT,2020,32.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2000,31,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2001,31,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2005,36.3,b
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2006,35.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2007,33.8,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2008,34.5,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2009,35.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2010,37.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2011,33.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2012,32.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2013,34.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2014,35.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2015,37.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2016,37.0,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2017,37.6,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2018,36.9,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2019,35.4,
ESTAT:ILC_DI12(1.0),20/06/22 23:00:00,A,GINI_HND,LT,2020,35.1,
