DATAFLOW,LAST UPDATE,freq,unit,lev_limit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2011,11.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2012,11.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2013,11.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2014,12.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2015,12.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2016,11.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2017,10.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2018,10.1,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,EU28,2019,9.4,e
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2011,11.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2012,11.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2013,11.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2014,11.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2015,11.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2016,12.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2017,11.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2018,12.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2019,11.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FI,2020,12.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2011,9.1,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2012,9.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2013,9.1,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2014,10.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2015,8.3,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2016,8.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2017,8.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2018,9.0,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2019,8.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,FR,2020,10.2,p
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2011,23.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2012,26.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2013,26.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2014,25.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2015,25.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2016,25.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2017,22.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2018,18.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2019,16.1,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HR,2020,14.7,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2011,22.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2012,24.5,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2013,25.4,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2014,23.1,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2015,22.2,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2016,19.6,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2017,16.9,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2018,14.8,
ESTAT:HLTH_DM050(1.0),19/11/21 23:00:00,A,PC,SM_SEV,Y_GE16,T,HU,2019,12.4,
